state,2010 number of fires,2010 number of acres burned,2011 f,2011 a,2013 f,2013 a,2014 f,2014 a,2015 f,2015 a,2016 f,2016 a,2017 f,2017 a,2018 f,2018 a,2019 f,2019 a
Alabama,2357,26331,3073,71311,1284,25623,2093,40527,3198,47380,3923,59030,1254,20192,970,15464,1107,22158
Alaska,688,1129421,515,293018,603,1316876,384,233561,768,5111404,572,496467,364,653023,367,410683,720,2498159
Arizona,1517,74445,1988,1016428,1756,105281,1543,205199,1662,160152,2288,308245,2321,429564,2000,165356,1869,384942
Arkansas,2010,30954,2627,54032,881,14733,1302,20164,1837,26630,1513,33371,1706,34624,1119,24071,660,8602
California,6502,108742,7989,126854,9907,577675,7865,555044,8745,893362,7349,560815,9560,1266224,8054,1823153,8194,259148
Colorado,1076,40788,1286,161167,1176,195145,830,24949,709,22602,1190,129495,967,111667,1328,475803,857,40392
Connecticut,93,262,196,244,76,238,28,69,76,159,268,778,97,243,52,40,88,72
Delaware,12,32,0,0,4,17,0,0,0,0,0,0,5,6,0,0,0,0
District of Columbia,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
Florida,2334,37929,5102,299991,101,7660,2436,101599,2422,73432,3067,74416,3280,298831,2249,138820,2121,122500
Georgia,3489,14534,8387,149222,2942,6736,3562,19199,2331,10556,5086,52119,3929,200785,2572,14236,3158,12407
Hawaii,9,10172,3,2178,0,0,0,0,17,5611,10,15098,3,2098,3,21979,155,10710
Idaho,977,613868,1094,384103,1471,722204,1180,189430,1324,804094,630,361649,1598,686262,1132,604481,960,284026
Illinois,95,630,62,2019,24,55,36,727,18,806,12,133,13,98,6,120,2,41
Indiana,57,132,27,530,19,806,54,276,16,868,27,620,22,553,26,115,38,523
Iowa,123,2722,561,2145,436,14704,577,11347,533,14945,465,21371,427,7216,386,8014,153,2020
Kansas,35,20364,99,111128,16,7137,68,31261,154,53936,75,349829,71,476306,71,59234,19,21167
Kentucky,1677,51003,1040,24961,1030,25084,1466,43199,774,19207,1220,73864,892,28927,376,8417,755,11714
Louisiana,2166,33401,3079,52763,1027,17883,1005,25337,1172,21036,508,7799,1064,11356,647,10742,361,3059
Maine,550,318,308,116,426,743,282,158,375,574,796,946,489,369,542,678,355,142
Maryland,160,1577,131,8310,126,182,125,1802,158,1078,120,242,108,2178,76,359,140,1498
