Contiguous U.S. Extremes in Maximum Temperature (Step 1) Annual (January-December) 1910-2019
Date,Much Above Normal,Much Below Normal
1910,10.90,3.30
1911,10.00,17.50
1912,0.00,58.00
1913,1.70,26.70
1914,0.00,10.30
1915,0.10,22.40
1916,1.50,29.70
1917,1.20,40.70
1918,0.10,6.70
1919,0.10,19.60
1920,0.00,30.90
1921,42.90,0.30
1922,3.10,12.10
1923,0.00,18.00
1924,0.30,28.90
1925,10.40,1.30
1926,9.10,16.10
1927,10.90,13.20
1928,0.20,2.40
1929,0.60,22.70
1930,1.70,4.00
1931,31.00,2.80
1932,1.50,7.10
1933,31.10,1.20
1934,61.70,0.50
1935,0.10,2.80
1936,3.10,1.80
1937,0.30,1.80
1938,19.90,0.50
1939,34.30,0.00
1940,4.80,21.70
1941,2.00,17.90
1942,0.00,0.50
1943,1.10,2.20
1944,0.00,8.70
1945,0.80,2.20
1946,14.50,0.30
1947,0.00,1.10
1948,0.50,8.80
1949,7.80,3.40
1950,9.60,20.10
1951,1.50,27.80
1952,1.70,1.10
1953,27.10,0.00
1954,38.10,1.40
1955,0.10,11.20
1956,12.20,0.30
1957,0.00,7.40
1958,6.50,33.40
1959,3.40,1.80
1960,0.00,16.40
1961,0.10,6.70
1962,0.10,2.90
1963,3.70,3.60
1964,0.00,10.20
1965,0.00,8.70
1966,0.50,14.20
1967,1.70,2.20
1968,0.00,18.70
1969,0.00,15.40
1970,0.00,1.20
1971,0.00,6.60
1972,0.00,19.70
1973,0.00,6.50
1974,0.40,0.10
1975,0.80,15.80
1976,2.20,12.00
1977,0.90,0.00
1978,0.00,25.90
1979,0.00,39.70
1980,0.20,1.90
1981,15.60,0.80
1982,0.00,23.30
1983,0.00,26.60
1984,0.10,10.60
1985,0.00,13.80
1986,2.40,0.00
1987,27.00,2.00
1988,15.60,0.30
1989,5.70,10.20
1990,22.90,0.00
1991,7.60,0.30
1992,10.80,6.40
1993,0.00,31.20
1994,5.40,0.00
1995,0.60,0.00
1996,9.00,21.90
1997,1.00,7.00
1998,30.30,4.30
1999,40.60,0.00
2000,12.20,0.00
2001,18.10,0.00
2002,9.20,0.00
2003,22.50,0.40
2004,2.00,0.30
2005,6.70,0.00
2006,46.30,0.00
2007,31.60,0.80
2008,2.50,1.40
2009,2.60,1.60
2010,7.50,0.70
2011,20.60,0.80
2012,86.60,0.00
2013,4.30,6.00
2014,21.50,17.50
2015,36.50,0.00
2016,67.10,0.00
2017,43.60,0.00
2018,22.50,0.20
2019,10.70,8.10
